id,num_tokens,market_cap,volume,last_updated
Alameda Research Portfolio,60,1324458450084.1304,39941077515.51094,2021-03-26T22:52:34.852Z
Pantera Capital Portfolio,51,1302159538961.2498,41536412963.643776,2021-03-26T23:24:51.227Z
Polychain Capital Portfolio,22,1262848647764.4202,40555109427.15858,2021-11-10T10:50:04.888Z
Coinbase Ventures Portfolio,40,1253314180954.7705,39149322227.31106,2021-11-10T10:50:19.934Z
a16z Portfolio,16,1247154003478.4397,38317339236.34158,2021-11-10T17:23:01.089Z
Multicoin Capital Portfolio,23,1240965491835.7397,37414270654.155304,2021-03-26T23:29:46.673Z
Binance Labs Portfolio,27,1239367507004.92,38673744105.69293,2021-11-10T10:31:26.079Z
DragonFly Capital Portfolio,14,1229710741084.7007,37835226438.06231,2021-03-26T21:34:54.534Z
Fabric Ventures Portfolio,17,1229371362669.1196,38217150946.94732,2021-03-26T21:44:18.374Z
BoostVC Portfolio,15,1229151027460.1099,38495416947.962875,2021-03-26T20:55:03.775Z
CMS Holdings Portfolio,26,1226331578754.6003,37495581197.53638,2021-03-26T21:14:27.160Z
Three Arrows Capital Portfolio,22,1223129927401.8604,37105650757.61628,2021-11-10T10:50:14.385Z
1Confirmation Portfolio,9,1222696146395.4697,37297666236.46293,2021-03-26T22:58:15.404Z
DCG Portfolio,21,1220898550828.0103,38346920458.6324,2021-03-26T21:28:13.816Z
Huobi Capital Portfolio,14,1220602763842.1396,37035948690.95808,2021-11-10T17:56:37.775Z
Placeholder Ventures Portfolio,16,1216572351247.5002,36701104882.87468,2021-03-26T23:24:50.090Z
Paradigm Portfolio,15,1212111691316.5398,36072131639.55729,2021-11-10T10:30:15.958Z
Electric Global Portfolio,10,1208236687477.85,36420693530.13065,2021-03-26T21:44:15.738Z
Framework Ventures Portfolio,16,1206219450289.6997,36916675755.526794,2021-11-10T17:58:35.640Z
USV Portfolio,6,1201689116222.7,35633922305.92556,2021-03-26T23:01:45.131Z
Galaxy Digital Portfolio,9,869940756187.9199,23591592409.710094,2021-03-26T21:54:35.334Z
Blockchain Capital Portfolio,17,862673662191.75,23083689790.604805,2021-03-26T20:50:42.678Z
BSC Ecosystem,1984,847378577899.0801,96700616259.3277,2021-11-12T04:24:14.138Z
Winklevoss Capital Portfolio,6,833833001147.7998,21781093229.055515,2021-11-10T17:49:59.639Z
Smart Contracts,143,552405150388.6903,24016100741.95548,2021-11-10T11:25:53.431Z
Injective Ecosystem,63,526371754631.18,70734129050.72945,2022-02-14T10:15:43.933Z
Kenetic Capital Portfolio,57,483121615590.0698,21088426053.06385,2021-12-06T06:37:14.173Z
Hashkey Capital Portfolio,19,434002051499.18994,18908207336.271156,2021-03-26T22:00:56.088Z
Ethereum Ecosystem,195,375916106814.02997,15563494055.650093,2021-11-10T18:14:06.200Z
Moonriver Ecosystem,25,227405572769.46997,59990499504.99918,2022-01-08T05:41:35.308Z
Solana Ecosystem,153,140472744000.47003,54979011533.1772,2021-04-28T03:04:46.665Z
DeFi,528,129981561765.68983,9157466558.451262,2021-03-23T08:38:28.630Z
Stablecoin,74,127283243557.30002,56757451105.86432,2021-11-10T11:25:48.501Z
Centralized Exchange,79,101720067615.8,2061597433.9095633,2021-11-10T11:26:39.837Z
Arrington XRP Capital Portfolio,36,101640065001.45001,5881341680.831477,2021-11-10T16:56:14.614Z
Fantom Ecosystem,107,100930834141.74997,6505492927.155935,2021-07-24T02:04:53.061Z
Polygon Ecosystem,152,56959203512.96999,6209090545.48162,2021-05-20T06:11:54.475Z
Exnetwork Capital Portfolio,100,56031829968.64002,3536014763.4171057,2021-04-09T03:36:03.123Z
Web3,75,55744573959.729996,3893386573.995916,2021-11-29T05:14:39.223Z
Avalanche Ecosystem,172,48742128852.24,3304673319.4863267,2021-11-16T03:17:38.555Z
Cardano Ecosystem,24,45548069080.95,1728041938.5233996,2021-10-18T04:09:39.588Z
NFTs & Collectibles,525,45321638759.239975,8116010592.971973,2021-05-04T10:36:15.891Z
Cosmos Ecosystem,67,44645841504.40001,2306029786.9212065,2021-11-10T10:39:21.341Z
Research,16,41689583390.75001,1692091836.3756626,2021-11-10T10:33:10.761Z
Memes,304,37750679939.30002,2106459508.0697992,2021-11-10T10:34:24.884Z
Doggone Doggerel,205,37475997555.77001,2078415023.3962264,2021-06-24T16:53:09.818Z
Polkadot Ecosystem,117,35624165480.130005,2315772166.621382,2021-03-23T08:38:28.669Z
OKEx Blockdream Ventures Portfolio,79,34744140146.319984,2142588487.255532,2022-01-18T07:23:06.374Z
Terra Ecosystem,29,34639447721.45,1493606933.5453124,2021-10-18T04:17:34.102Z
Coinfund Portfolio,14,34120321657.36,1944203627.444123,2021-03-26T21:21:40.037Z
Binance Launchpad,28,31630929366.26001,3660702858.700526,2021-11-10T10:31:33.934Z
Scaling,42,31033123894.49,2970661059.9670806,2021-11-10T11:25:58.092Z
Harmony Ecosystem,26,30778142043.050003,4789177928.059246,2021-11-25T11:24:20.902Z
Metaverse,193,29876489485.749996,4894197340.032234,2021-11-16T03:17:06.328Z
Fenbushi Capital Portfolio,12,28671445423.479996,1897672719.234009,2021-03-26T21:51:48.508Z
Gaming,368,28546590387.48997,5928140845.099627,2021-11-10T10:35:02.891Z
Spartan Group,48,28321537094.13,1878414427.3884668,2022-01-10T07:08:15.711Z
Decentralized Exchange,138,26474778771.73,2124402537.7028162,2021-11-10T11:26:30.164Z
Near Protocol Ecosystem,19,20907788469.72,1540150644.9886494,2021-10-22T11:46:17.625Z
DAO,129,19842009238.860016,1931542421.777505,2021-11-10T11:25:42.336Z
Content Creation,67,19183143435.449997,2444197764.6985984,2021-11-10T10:35:39.931Z
Distributed Computing,58,17522889812.310005,1230827032.5117466,2021-11-10T10:37:26.209Z
Yield Farming,224,17230349210.719994,1623715078.9259064,2021-11-10T11:25:30.693Z
Media,90,16215709015.419998,1884480031.120485,2021-11-10T10:39:37.676Z
Play To Earn,269,15336505489.66,4503856599.010906,2021-11-10T15:27:33.559Z
AMM,63,15084816183.820002,1220113036.8226411,2021-11-10T11:25:14.857Z
ParaFi Capital,13,14626957695.54,1026588785.7484337,2021-11-10T15:22:33.575Z
DeFiance Capital Portfolio,13,14454355789.63,1138344045.1776927,2021-11-10T18:03:21.779Z
Interoperability,39,14313952777.169998,1084197589.585149,2021-11-10T11:26:12.539Z
Wrapped Tokens,24,14280646894.499998,769638393.5784328,2021-03-23T08:38:29.749Z
Animoca Brands Portfolio,52,12510254313.729996,2118805482.2633085,2021-11-08T07:09:10.406Z
IoT,59,11703193375.98,583720387.0165803,2021-11-10T10:34:37.588Z
TRON Ecosystem,15,10163181537.170002,1696025899.3558226,2021-11-10T18:15:46.130Z
Filesharing,42,10131596982.000002,954014465.4905533,2021-11-10T10:35:12.354Z
Oracles,41,10110114113.07,924298527.7916917,2021-11-10T11:26:02.804Z
Privacy,89,10082568980.490004,531684530.3682809,2021-11-10T11:26:16.939Z
Derivatives,53,9860741241.199997,681685133.161283,2021-11-10T11:26:21.514Z
Storage,39,8178637747.039999,884516367.4399382,2021-03-23T08:38:28.660Z
Lending & Borrowing,44,6530156011.23,646291356.278599,2021-11-10T17:47:47.634Z
LedgerPrime Portfolio,11,5901693437.919998,384257475.97798777,2021-03-26T22:42:42.005Z
ETH 2.0 Staking,5,5841953924.41,3739931.86940797,2021-03-23T08:38:29.772Z
Video,16,4777683639.910001,600606705.0149658,2021-11-10T10:31:41.772Z
