name,symbol,price,market_cap,last_updated,category
Rai Reflex Index,RAI,2.990393992204015,78157139.14120413,2022-02-17T09:16:00.000Z,DeFi
Flamingo,FLM,0.2603580065943823,81305655.87351649,2022-02-17T09:16:00.000Z,DeFi
Linear,LINA,0.025645033879733114,83695566.67819947,2022-02-17T09:16:00.000Z,DeFi
VVS Finance,VVS,3.757667470401323e-05,86054372.11714256,2022-02-17T09:16:00.000Z,DeFi
DFI.Money,YFII,2246.750207935386,86715571.02547415,2022-02-17T09:16:00.000Z,DeFi
Wanchain,WAN,0.45855601398548496,88364611.11084828,2022-02-17T09:16:00.000Z,DeFi
Uquid Coin,UQC,9.165920817748917,91659208.17748918,2022-02-17T09:16:00.000Z,DeFi
Celo Dollar,CUSD,0.9991891546508844,91900508.74422596,2022-02-17T09:16:00.000Z,DeFi
cVault.finance,CORE,9451.54305470413,94515430.54704131,2022-02-17T09:16:00.000Z,DeFi
STAKE,STAKE,12.16025364291931,100299915.97568731,2022-02-17T09:16:00.000Z,DeFi
Ampleforth,AMPL,1.0122595743387561,101363906.88327445,2022-02-17T09:16:00.000Z,DeFi
Bonfida,FIDA,2.2577348486412854,100988397.58688752,2022-02-17T09:16:00.000Z,DeFi
Acala Token,ACA,1.4709444276615409,101943040.13892514,2022-02-17T09:16:00.000Z,DeFi
Enzyme,MLN,59.325792079547384,106352914.58601588,2022-02-17T09:16:00.000Z,DeFi
Covalent,CQT,0.4255430938664695,108446674.13672969,2022-02-17T09:16:00.000Z,DeFi
Strike,STRK,35.11175073620394,109299291.45686817,2022-02-17T09:16:00.000Z,DeFi
PEAKDEFI,PEAK,0.08528285590852475,110167735.9332172,2022-02-17T09:16:00.000Z,DeFi
Circuits of Value,COVAL,0.062023097257155366,110821001.0452621,2022-02-17T09:16:00.000Z,DeFi
Maple,MPL,25.63538482782691,112410002.45853622,2022-02-17T09:16:00.000Z,DeFi
sUSD,SUSD,0.9967551214968895,115710712.96101844,2022-02-17T09:16:00.000Z,DeFi
IDEX,IDEX,0.1886032454271694,120241997.25589685,2022-02-17T09:16:00.000Z,DeFi
Mirror Protocol,MIR,1.550516358976319,120541297.02599038,2022-02-17T09:16:00.000Z,DeFi
Chrono.tech,TIME,170.12600753879158,120808519.46538638,2022-02-17T09:16:00.000Z,DeFi
TrueFi,TRU,0.22162832421656167,121664241.39327997,2022-02-17T09:16:00.000Z,DeFi
Proton,XPR,0.013097790222423432,123693982.42813273,2022-02-17T09:16:00.000Z,DeFi
Ellipsis,EPS,0.22442622709458337,134693761.97426313,2022-02-17T09:16:00.000Z,DeFi
Badger DAO,BADGER,10.963149914432151,137357958.73749307,2022-02-17T09:16:00.000Z,DeFi
BakeryToken,BAKE,0.7171780557454067,138795100.59002727,2022-02-17T09:16:00.000Z,DeFi
Origin Protocol,OGN,0.36375409282849586,141344194.3147918,2022-02-17T09:16:00.000Z,DeFi
Polkastarter,POLS,1.8110226559607925,159771012.09330446,2022-02-17T09:16:00.000Z,DeFi
DAO Maker,DAO,2.309204966916082,161490182.72627243,2022-02-17T09:16:00.000Z,DeFi
Augur,REP,14.894170903674286,163835879.94041714,2022-02-17T09:16:00.000Z,DeFi
Numeraire,NMR,27.82898809852055,163871097.8283807,2022-02-17T09:16:00.000Z,DeFi
iExec RLC,RLC,2.0762376494883923,166245995.5467294,2022-02-17T09:16:00.000Z,DeFi
Orion Protocol,ORN,4.081279510336203,167944651.85033476,2022-02-17T09:16:00.000Z,DeFi
Alpha Finance Lab,ALPHA,0.385431941851352,172029887.1709386,2022-02-17T09:16:00.000Z,DeFi
API3,API3,4.717518125562978,174113262.64983454,2022-02-17T09:16:00.000Z,DeFi
Beefy Finance,BIFI,2435.884306263526,175383670.05097386,2022-02-17T09:16:00.000Z,DeFi
inSure DeFi,SURE,0.006693687988288016,179324324.077583,2022-02-17T09:16:00.000Z,DeFi
Mango,MNGO,0.1795145757958832,179514575.7958832,2022-02-17T09:16:00.000Z,DeFi
Alchemix,ALCX,165.29273277163156,183878966.45918757,2022-02-17T09:16:00.000Z,DeFi
Mdex,MDX,0.2557536335630527,217491489.05136955,2022-02-17T09:16:00.000Z,DeFi
Reef,REEF,0.011959913160129907,218635775.087603,2022-02-17T09:16:00.000Z,DeFi
Origin Dollar,OUSD,0.9938461632787768,223342846.3838364,2022-02-17T09:16:00.000Z,DeFi
MOBOX,MBOX,2.9972673480628518,239341017.01412335,2022-02-17T09:16:00.000Z,DeFi
Rari Governance Token,RGT,20.063684746956092,243542639.763627,2022-02-17T09:16:00.000Z,DeFi
Reserve Rights,RSR,0.018707537212758023,246191146.26037848,2022-02-17T09:16:00.000Z,DeFi
Request,REQ,0.25274051464690034,252709176.8480186,2022-02-17T09:16:00.000Z,DeFi
Swipe,SXP,1.4167137947755992,274798258.5785317,2022-02-17T09:16:00.000Z,DeFi
Injective,INJ,5.9427163805391645,289136750.02799165,2022-02-17T09:16:00.000Z,DeFi
COTI,COTI,0.2787077800871493,292125189.3499916,2022-02-17T09:16:00.000Z,DeFi
Raydium,RAY,3.593789188802816,299312046.1862769,2022-02-17T09:16:00.000Z,DeFi
Chromia,CHR,0.5414029202090975,307175471.1119974,2022-02-17T09:16:00.000Z,DeFi
Serum,SRM,2.3592446752922567,314326369.903954,2022-02-17T09:16:00.000Z,DeFi
Rocket Pool,RPL,31.95201825327284,328458516.9373341,2022-02-17T09:16:00.000Z,DeFi
Ren,REN,0.36013390484076424,359256637.0214981,2022-02-17T09:16:00.000Z,DeFi
Ocean Protocol,OCEAN,0.5960253292379293,365422617.36871344,2022-02-17T09:16:00.000Z,DeFi
Anyswap,ANY,19.942399844151623,371712776.5706506,2022-02-17T09:16:00.000Z,DeFi
JUST,JST,0.052984930247444086,386812509.401697,2022-02-17T09:16:00.000Z,DeFi
Keep Network,KEEP,0.611831219276639,389139703.50309956,2022-02-17T09:16:00.000Z,DeFi
Kyber Network Crystal v2,KNC,2.2585937469260293,401599084.9937335,2022-02-17T09:16:00.000Z,DeFi
UMA,UMA,6.347124799228186,414606012.61882836,2022-02-17T09:16:00.000Z,DeFi
Fei USD,FEI,0.9903556519641359,420897366.7363974,2022-02-17T09:16:00.000Z,DeFi
Frax Share,FXS,26.20630110053797,424788540.1826484,2022-02-17T09:16:00.000Z,DeFi
Nervos Network,CKB,0.014713189798532382,438482174.2369124,2022-02-17T09:16:00.000Z,DeFi
