,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,defipulse-index,dpi,DeFi Pulse Index,https://assets.coingecko.com/coins/images/12465/large/defi_pulse_index_set.png?1600051053,153.44,72675823.0,479.0,72675823.0,275467.0,160.77,152.88,-7.020241917773,-4.37504,-3144154.7408166677,-4.14687,472575.606462701,472575.606462701,472575.606462701,656.49,-76.62561,2021-05-12T14:49:54.177Z,57.2,168.2923,2020-11-05T13:58:56.357Z,,2022-03-04T16:25:47.499Z
1,eth-2x-flexible-leverage-index,ETH2x-FLI,Index Coop - ETH 2x Flexible Leverage Index,https://assets.coingecko.com/coins/images/14392/large/ETH2x-FLI_%281%29.png?1615875910,63.18,66716916.0,506.0,,1683128.0,71.23,63.25,-7.975295393086,-11.20787,-6958630.27386032,-9.44497,1051485.11993834,1051485.11993834,,751.65,-91.58585,2021-03-16T07:17:44.769Z,43.29,46.08485,2022-01-24T15:15:28.405Z,,2022-03-04T16:25:12.542Z
2,yearn-lazy-ape,YLA,Yearn Lazy Ape,https://assets.coingecko.com/coins/images/14447/large/yla.png?1616128042,1.16,12595688.0,1021.0,12477776.0,0.0,,,,,,,10751290.0183799,10751290.0183799,10751290.0183799,1.58,-26.51985,2022-01-19T01:18:45.803Z,0.00057796,200708.18934,2021-03-22T02:54:49.366Z,,2022-02-19T14:16:36.014Z
3,btc-2x-flexible-leverage-index,BTC2x-FLI,BTC 2x Flexible Leverage Index,https://assets.coingecko.com/coins/images/15406/large/BTC2x-FLI_token_logo.png?1635261590,27.4,7925402.0,1212.0,,244998.0,30.01,27.31,-2.613283891533,-8.70831,-718940.9684910104,-8.3169,288767.662209141,288767.662209141,,199.13,-86.22319,2021-05-11T19:39:34.307Z,19.38,41.54579,2022-02-24T05:47:09.481Z,,2022-03-04T16:25:52.764Z
4,degen-index,degen,DEGEN Index,https://assets.coingecko.com/coins/images/14143/large/alpha_logo.png?1614651244,2.78,5022441.0,1451.0,5022441.0,7962.05,2.88,2.7,-0.031357956649,-1.11342,-49335.9462822387,-0.97275,1802472.19813534,1802472.19813534,1802472.19813534,9.66,-71.14225,2021-04-15T19:48:41.988Z,2.25,23.68889,2021-07-20T10:16:50.697Z,,2022-03-04T16:25:02.826Z
5,total-crypto-market-cap-token,tcap,Total Crypto Market Cap,https://assets.coingecko.com/coins/images/14703/large/tcap.png?1617860242,233.77,4010245.0,1571.0,4010245.0,934.64,248.89,234.23,-14.070320937462,-5.67722,-237488.35374578508,-5.59094,17119.4821070607,17119.4821070607,17119.4821070607,1099.88,-78.7022,2021-04-08T08:06:09.223Z,131.02,78.79195,2022-01-24T15:09:07.816Z,,2022-03-04T16:23:44.088Z
6,sdefi,sdefi,sDEFI,https://assets.coingecko.com/coins/images/11832/large/sDEFI.png?1616150059,17752.28,3084178.0,1700.0,,59686.0,18303.82,17376.29,-179.618640821074,-1.00167,-87929.0050841826,-2.77194,173.420474547862,173.420474547862,,23260.0,-23.53971,2021-12-27T01:59:41.703Z,1864.06,854.06697,2020-11-03T04:39:38.633Z,,2022-03-04T16:25:44.841Z
7,cook,cook,Cook,https://assets.coingecko.com/coins/images/14603/large/logo-200x200.jpg?1622448330,0.00257479,2381333.0,1810.0,,232022.0,0.00270948,0.00248775,-7.827846e-05,-2.95049,-26310.293514352292,-1.09278,914056997.152546,10000000000.0,,0.376119,-99.31444,2021-03-31T17:22:49.398Z,0.00226459,13.86217,2022-02-24T13:15:36.574Z,,2022-03-04T16:26:18.349Z
8,piedao-balanced-crypto-pie,bcp,PieDAO Balanced Crypto Pie,https://assets.coingecko.com/coins/images/13560/large/BCP.png?1609813753,2.74,1648257.0,2011.0,,1275.52,3.12,2.74,-0.353067728245,-11.4131,-265322.86090276344,-13.86526,602038.700566466,602038.700566466,,5.68,-51.76722,2021-11-13T16:55:25.925Z,0.215856,1168.34081,2021-11-04T08:14:03.356Z,,2022-03-04T16:23:37.731Z
9,basketdao-defi-index,bdi,BasketDAO DeFi Index,https://assets.coingecko.com/coins/images/14664/large/BDI_200.png?1621851285,186.77,1645863.0,2012.0,1645863.0,0.0,,,,,,,8812.09005502754,8812.09005502754,8812.09005502754,647.89,-71.1721,2021-05-14T16:37:09.908Z,137.3,36.03546,2021-11-10T07:03:58.691Z,,2022-02-28T14:34:26.467Z
