,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,90.09,33601112021,7,90487416804.0,2818876374.0,93.04,87.3,-2.170071130696,-2.3522,-1030046015.1837234,-2.97433,371334636.436046,784519918.860105,1000000000.0,103.34,-12.43452,2021-12-27T02:13:02.051Z,0.121798,74192.9236,2020-03-18T17:03:01.083Z,,2022-03-04T15:14:37.048Z
1,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,0.998512,9272853243,20,9272853243.0,370694907.0,1.006,0.995713,0.00028282,0.02833,91510371.0,0.9967,9217724485.99301,9217724485.99301,9217724485.99301,1.22,-17.47021,2020-03-13T03:02:50.373Z,0.903243,11.37431,2019-11-25T00:04:18.137Z,,2022-03-04T15:11:58.699Z
2,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,14.21,6664425084,23,14270425714.0,572473426.0,15.03,14.19,-0.668048250027,-4.49052,-374342441.68915176,-5.3183,467009549.5205637,1000000000.0,1000000000.0,52.7,-73.0069,2021-05-10T00:13:57.214Z,0.148183,9499.23113,2017-11-29T00:00:00.000Z,,2022-03-04T15:14:50.537Z
3,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,2687.69,5623503632,27,5623503632.0,5066944.0,2872.2,2686.96,-184.510232690844,-6.424,-309946712.6508846,-5.22372,2077694.16505568,2077694.16505568,2077694.16505568,4829.57,-44.12049,2021-11-10T14:40:47.256Z,482.9,458.86551,2020-12-22T04:08:21.854Z,,2022-03-04T15:13:59.074Z
4,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,9.17,4215682547,33,9235002727.0,154194185.0,9.79,9.12,-0.622221456087,-6.3541,-311815488.48973083,-6.88715,456489583.4010546,1000000000.0,1000000000.0,44.92,-79.43967,2021-05-03T05:25:04.822Z,1.03,796.4826,2020-09-17T01:20:38.214Z,,2022-03-04T15:14:44.228Z
5,osmosis,osmo,Osmosis,https://assets.coingecko.com/coins/images/16724/large/osmo.png?1632763885,10.94,3407206108,41,10947497874.0,133674047.0,11.25,10.56,0.149652,1.38646,42481887.0,1.26257,311231493.0,325000000.0,1000000000.0,11.25,-2.24025,2022-03-04T05:12:18.707Z,1.24,790.09537,2021-07-20T10:21:24.662Z,,2022-03-04T15:14:14.461Z
6,compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,54.23,3160322457,43,,1038.2,57.96,54.1,-3.727087624907,-6.43023,-201816982.29293394,-6.00264,58419015.5641359,58419015.5641359,,97.75,-44.65761,2021-11-21T12:39:57.508Z,1.89,2767.93381,2020-03-13T02:22:33.711Z,,2022-03-04T15:13:19.658Z
7,frax,frax,Frax,https://assets.coingecko.com/coins/images/13422/large/frax_logo.png?1608476506,0.999468,2918481755,48,2918481755.0,22497537.0,1.006,0.992007,-0.0012064373,-0.12056,13547952.0,0.46638,2903242158.00651,2903242158.00651,2903242158.00651,1.14,-11.81456,2021-02-07T12:55:35.766Z,0.891635,12.79409,2021-12-04T05:33:57.315Z,,2022-03-04T15:14:37.261Z
8,compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02254473,2858591277,50,,143.34,0.02265947,0.02244142,2.321e-05,0.10306,65030739.0,2.32788,126287780360.379,126287780360.379,,0.058843,-61.5326,2020-10-21T11:24:27.820Z,0.00620705,264.67432,2021-03-04T08:11:37.438Z,,2022-03-04T15:12:47.781Z
9,magic-internet-money,mim,Magic Internet Money,https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612,0.990204,2767642098,51,,58086541.0,1.008,0.989255,-0.006460648495,-0.64823,2904235.0,0.10505,2785296692.97944,2785296692.97944,,1.041,-4.75371,2021-10-06T13:25:17.751Z,0.919196,7.8732,2021-12-04T05:29:56.806Z,,2022-03-04T15:14:32.680Z
