,name,sector
0,Maker,Lending
1,Curve Finance,DEXes
2,Convex Finance,Assets
3,Aave,Lending
4,Uniswap,DEXes
5,Compound,Lending
6,InstaDApp,Lending
7,yearn.finance,Assets
8,Balancer,DEXes
9,Bancor,DEXes
10,SushiSwap,DEXes
11,Liquity,Lending
12,dYdX,Derivatives
13,Rari Capital,Assets
14,Alpha Homora,Lending
15,Flexa,Payments
16,RenVM,Assets
17,C.R.E.A.M. Finance,Lending
18,Alchemix,Lending
19,Notional,Lending
20,Badger DAO,Assets
21,DeFi Saver,Lending
22,Tornado Cash,Payments
23,TrueFi,Lending
24,Nexus Mutual,Derivatives
25,Quickswap,DEXes
26,Fei Protocol,Assets
27,Synthetix,Derivatives
28,B.Protocol,Lending
29,Loopring,DEXes
30,Index Coop,Assets
31,DefiDollar,Assets
32,Saddle,DEXes
33,Harvest Finance,Assets
34,Reflexer,Lending
35,xDai,Payments
36,Element Finance,Assets
37,Set Protocol,Assets
38,Origin Dollar,Assets
39,Lightning Network,Payments
40,KeeperDAO,Lending
41,KEEP Network,Assets
42,Enzyme Finance,Assets
43,Sablier,Payments
44,mStable,Assets
45,Ribbon Finance,Derivatives
46,QiDao,Lending
47,Opyn,Derivatives
48,Vesper,Assets
49,Metronome,Assets
50,Kyber,DEXes
51,DeFi Swap,DEXes
52,Idle Finance,Lending
53,DODO,DEXes
54,Beta Finance,Lending
55,Inverse,Assets
56,Pickle Finance,Assets
57,Strike,Lending
58,UMA,Derivatives
59,O3 Swap,Assets
60,DeversiFi,DEXes
61,BoringDAO,Assets
62,Bella Flex Saving,Assets
63,1inch Liquidity Protocol,DEXes
64,Gnosis,DEXes
65,Shell,DEXes
66,WePiggy,Lending
67,BiFi,Lending
68,IDEX,DEXes
69,dForce,Lending
70,Pendle Finance,Derivatives
71,DFX Finance,DEXes
72,BarnBridge,Derivatives
73,TRANCHE,Derivatives
74,Cryptex,Lending
75,Erasure,Derivatives
76,InsurAce Protocol,Derivatives
77,bZx,Lending
78,C.R.E.A.M. Swap,DEXes
79,Premia,Derivatives
80,Integral,DEXes
81,Hegic,Derivatives
82,Gamma,Assets
83,88mph,Lending
84,DDEX,Lending
85,xToken,Assets
86,Mushrooms Finance,Assets
87,Opium Network,Derivatives
88,Warp Finance,Lending
89,Opium Network,Derivatives
90,DerivaDEX,Derivatives
91,OnX Finance,Lending
92,Wing Finance,Lending
93,Augur,Derivatives
94,Crypto Volatility Index,Derivatives
95,cvault.finance,Assets
96,MCDEX,Derivatives
97,Convergence,DEXes
98,PowerIndex,DEXes
99,Swerve Finance,DEXes
100,Impermax,Lending
101,PieDAO,Assets
102,Snowswap,DEXes
103,Nsure Network,Derivatives
104,Lien,Derivatives
105,Cover Protocol,Derivatives
106,Volmex Finance,Derivatives
107,Siren,Derivatives
108,PEAKDEFI,Assets
109,Value DeFi,Assets
110,yAxis,Assets
111,Futureswap,Derivatives
112,UniTrade,DEXes
113,Auctus,Derivatives
114,Ruler Protocol,Lending
115,Varen,DEXes
116,Swarm Markets,DEXes
117,DOMANI,Assets
118,ForTube,Lending
119,DFI.money,Assets
120,Value Liquid,DEXes
121,QIAN,Lending
122,Pods,Derivatives
123,DeFiner,Lending
124,Tranche,Derivatives
125,S Finance,DEXes
126,Dfyn Network,DEXes
127,DeFireX,Assets
128,DeFi Yield Protocol,Assets
129,Olympus,Assets
130,Primitive,Derivatives
131,Robo-Advisor for Yield,Lending
