defi_dominance,defi_market_cap,defi_to_eth_ratio,eth_market_cap,top_coin_defi_dominance,top_coin_name,trading_volume_24h,ingestion_time,date,time
5.8,115835540622.52,33.06,350382490264.2,29.08,Terra,8793349536.87,2022-03-01 04:58:15.340809+00:00,2022-03-01,04:58:15.340809
5.79,115721991940.11,33.03,350359519383.4,29.05,Terra,8759718786.06,2022-03-01 05:11:16.969561+00:00,2022-03-01,05:11:16.969561
5.79,115357211592.92,32.96,349992168044.13,28.96,Terra,8836843553.34,2022-03-01 05:24:17.975500+00:00,2022-03-01,05:24:17.975500
5.78,115169700402.61,32.91,349967807788.78,28.88,Terra,8746943650.46,2022-03-01 05:37:19.097761+00:00,2022-03-01,05:37:19.097761
5.76,114785862742.29,32.85,349413212357.64,28.69,Terra,8820574265.28,2022-03-01 05:50:23.288118+00:00,2022-03-01,05:50:23.288118
5.77,114828057765.61,32.9,349073102115.68,28.77,Terra,8825003025.55,2022-03-01 06:03:24.304532+00:00,2022-03-01,06:03:24.304532
5.78,114770575913.38,32.95,348296906896.28,28.82,Terra,8860211253.98,2022-03-01 06:16:25.310256+00:00,2022-03-01,06:16:25.310256
5.78,114890835260.34,32.98,348319764194.36,28.84,Terra,8807604564.63,2022-03-01 06:29:26.220360+00:00,2022-03-01,06:29:26.220360
5.77,115155540670.77,32.99,349108882462.24,28.84,Terra,8844724972.41,2022-03-01 06:42:27.543101+00:00,2022-03-01,06:42:27.543101
5.77,115351599452.81,32.97,349910191515.63,28.79,Terra,8886784533.05,2022-03-01 06:55:29.382861+00:00,2022-03-01,06:55:29.382861
5.77,115407660094.81,32.96,350139331274.43,28.84,Terra,8698542192.98,2022-03-01 07:08:31.734933+00:00,2022-03-01,07:08:31.734933
5.78,115746240469.47,33.0,350777809395.57,28.9,Terra,8871981679.08,2022-03-01 07:21:33.512164+00:00,2022-03-01,07:21:33.512164
5.78,115610477742.24,33.0,350358674054.94,28.87,Terra,8789519161.85,2022-03-01 07:34:34.645730+00:00,2022-03-01,07:34:34.645730
5.78,115408268920.74,33.0,349677393586.93,28.89,Terra,8771997682.83,2022-03-01 07:47:36.388232+00:00,2022-03-01,07:47:36.388232
5.78,115757332520.01,33.05,350206206216.48,28.93,Terra,8784049925.81,2022-03-01 08:00:38.810517+00:00,2022-03-01,08:00:38.810517
5.79,115921615675.11,33.07,350534231766.26,28.93,Terra,8848891577.27,2022-03-01 08:13:39.823740+00:00,2022-03-01,08:13:39.823740
5.79,115992474056.26,33.13,350131026866.22,29.01,Terra,8836406242.32,2022-03-01 08:26:40.999493+00:00,2022-03-01,08:26:40.999493
5.78,115997338304.41,33.09,350570072597.18,28.94,Terra,8801797538.4,2022-03-01 08:39:43.396808+00:00,2022-03-01,08:39:43.396808
5.78,115954301593.9,33.07,350639338807.63,28.87,Terra,8771009636.37,2022-03-01 08:52:44.416882+00:00,2022-03-01,08:52:44.416882
5.77,115684286842.04,33.02,350347158851.57,28.76,Terra,8878526065.83,2022-03-01 09:05:45.435755+00:00,2022-03-01,09:05:45.435755
5.78,115500541047.74,33.03,349638283203.49,28.77,Terra,8854029243.77,2022-03-01 09:18:46.381765+00:00,2022-03-01,09:18:46.381765
5.78,115557189994.31,33.08,349329992486.74,28.86,Terra,8800226432.35,2022-03-01 09:31:47.389270+00:00,2022-03-01,09:31:47.389270
5.79,115180299689.97,33.18,347156809924.58,29.0,Terra,8837375520.17,2022-03-01 09:44:48.515549+00:00,2022-03-01,09:44:48.515549
5.8,115517154137.14,33.24,347563845439.05,29.18,Terra,8958674383.83,2022-03-01 09:57:49.412647+00:00,2022-03-01,09:57:49.412647
5.81,115683419732.31,33.34,346928864510.83,29.32,Terra,8961423076.62,2022-03-01 10:10:50.617516+00:00,2022-03-01,10:10:50.617516
5.81,115387907575.4,33.39,345576916582.91,29.31,Terra,9120105785.45,2022-03-01 10:23:51.657422+00:00,2022-03-01,10:23:51.657422
5.84,116019942726.06,33.53,345977413416.7,29.63,Terra,9292144482.35,2022-03-01 10:36:52.571022+00:00,2022-03-01,10:36:52.571022
5.88,117304190358.2,33.71,348000538867.61,30.14,Terra,9462534835.78,2022-03-01 10:50:57.948119+00:00,2022-03-01,10:50:57.948119
5.86,117446984220.86,33.59,349628124241.93,29.98,Terra,9557528119.46,2022-03-01 11:18:57.554479+00:00,2022-03-01,11:18:57.554479
5.84,118340082527.48,33.63,351910688987.06,29.7,Terra,9986815185.45,2022-03-01 12:27:21.175963+00:00,2022-03-01,12:27:21.175963
5.83,118053156826.79,33.57,351685745296.43,29.62,Terra,10096618008.82,2022-03-01 12:40:23.254448+00:00,2022-03-01,12:40:23.254448
5.82,118032880559.77,33.5,352300380729.39,29.56,Terra,10236932888.18,2022-03-01 12:53:24.376498+00:00,2022-03-01,12:53:24.376498
5.81,118213047010.03,33.43,353638171663.03,29.54,Terra,10224789850.11,2022-03-01 13:06:26.109088+00:00,2022-03-01,13:06:26.109088
