coin,market_cap_percentage,timestamp,date,time
btc,41.20117364248325,2022-03-01 04:52:16,2022-03-01,04:52:16
eth,17.533741197469485,2022-03-01 04:52:16,2022-03-01,04:52:16
usdt,3.9956383785882914,2022-03-01 04:52:16,2022-03-01,04:52:16
bnb,3.318775373731276,2022-03-01 04:52:16,2022-03-01,04:52:16
usdc,2.685125246463151,2022-03-01 04:52:16,2022-03-01,04:52:16
xrp,1.8665249047010275,2022-03-01 04:52:16,2022-03-01,04:52:16
luna,1.685560103010612,2022-03-01 04:52:16,2022-03-01,04:52:16
sol,1.567180397216373,2022-03-01 04:52:16,2022-03-01,04:52:16
ada,1.5484813062689775,2022-03-01 04:52:16,2022-03-01,04:52:16
avax,1.0775930764277244,2022-03-01 04:52:16,2022-03-01,04:52:16
btc,41.18314007858726,2022-03-01 05:02:23,2022-03-01,05:02:23
eth,17.5434448887895,2022-03-01 05:02:23,2022-03-01,05:02:23
usdt,3.991950013766052,2022-03-01 05:02:23,2022-03-01,05:02:23
bnb,3.3259836561520344,2022-03-01 05:02:23,2022-03-01,05:02:23
usdc,2.6822889786486512,2022-03-01 05:02:23,2022-03-01,05:02:23
xrp,1.8659191796635604,2022-03-01 05:02:23,2022-03-01,05:02:23
luna,1.683500179391704,2022-03-01 05:02:23,2022-03-01,05:02:23
sol,1.5681142165564024,2022-03-01 05:02:23,2022-03-01,05:02:23
ada,1.5495885773087543,2022-03-01 05:02:23,2022-03-01,05:02:23
avax,1.079848277368036,2022-03-01 05:02:23,2022-03-01,05:02:23
btc,41.17443233806526,2022-03-01 05:22:30,2022-03-01,05:22:30
eth,17.556369633836688,2022-03-01 05:22:30,2022-03-01,05:22:30
usdt,3.9894297286668654,2022-03-01 05:22:30,2022-03-01,05:22:30
bnb,3.3395517590061568,2022-03-01 05:22:30,2022-03-01,05:22:30
usdc,2.684375956942255,2022-03-01 05:22:30,2022-03-01,05:22:30
xrp,1.865261195250717,2022-03-01 05:22:30,2022-03-01,05:22:30
luna,1.675799000177411,2022-03-01 05:22:30,2022-03-01,05:22:30
sol,1.5651787862548,2022-03-01 05:22:30,2022-03-01,05:22:30
ada,1.5589816008245954,2022-03-01 05:22:30,2022-03-01,05:22:30
avax,1.0828692708004737,2022-03-01 05:22:30,2022-03-01,05:22:30
btc,41.176425700013766,2022-03-01 05:32:34,2022-03-01,05:32:34
eth,17.55748206045386,2022-03-01 05:32:34,2022-03-01,05:32:34
usdt,3.9947264661525255,2022-03-01 05:32:34,2022-03-01,05:32:34
bnb,3.3387902483239,2022-03-01 05:32:34,2022-03-01,05:32:34
usdc,2.686927909659154,2022-03-01 05:32:34,2022-03-01,05:32:34
xrp,1.8605210882058103,2022-03-01 05:32:34,2022-03-01,05:32:34
luna,1.66883696618285,2022-03-01 05:32:34,2022-03-01,05:32:34
sol,1.5635458025720386,2022-03-01 05:32:34,2022-03-01,05:32:34
ada,1.5587972195124986,2022-03-01 05:32:34,2022-03-01,05:32:34
avax,1.0829209532615582,2022-03-01 05:32:34,2022-03-01,05:32:34
btc,41.201986088777566,2022-03-01 05:42:39,2022-03-01,05:42:39
eth,17.56176430355571,2022-03-01 05:42:39,2022-03-01,05:42:39
usdt,3.997956624142249,2022-03-01 05:42:39,2022-03-01,05:42:39
bnb,3.342503802470108,2022-03-01 05:42:39,2022-03-01,05:42:39
usdc,2.6884363713855493,2022-03-01 05:42:39,2022-03-01,05:42:39
xrp,1.861337290208236,2022-03-01 05:42:39,2022-03-01,05:42:39
luna,1.6572968758603923,2022-03-01 05:42:39,2022-03-01,05:42:39
sol,1.559238496375354,2022-03-01 05:42:39,2022-03-01,05:42:39
ada,1.5572572305231192,2022-03-01 05:42:39,2022-03-01,05:42:39
avax,1.0773687804558385,2022-03-01 05:42:39,2022-03-01,05:42:39
btc,41.22461144652345,2022-03-01 06:02:43,2022-03-01,06:02:43
eth,17.545896107319198,2022-03-01 06:02:43,2022-03-01,06:02:43
usdt,4.001448299712957,2022-03-01 06:02:43,2022-03-01,06:02:43
bnb,3.342126917153586,2022-03-01 06:02:43,2022-03-01,06:02:43
usdc,2.6885410540375734,2022-03-01 06:02:43,2022-03-01,06:02:43
xrp,1.864276858743478,2022-03-01 06:02:43,2022-03-01,06:02:43
luna,1.6605995380282716,2022-03-01 06:02:43,2022-03-01,06:02:43
ada,1.5557754551093528,2022-03-01 06:02:43,2022-03-01,06:02:43
sol,1.551002920488731,2022-03-01 06:02:43,2022-03-01,06:02:43
avax,1.0749869326365658,2022-03-01 06:02:43,2022-03-01,06:02:43
btc,41.22925132450062,2022-03-01 06:12:45,2022-03-01,06:12:45
eth,17.53424607425184,2022-03-01 06:12:45,2022-03-01,06:12:45
