active_cryptocurrencies,markets,total_market_cap_usd,timestamp,date,time
12904,759,1994998248269.1096,2022-03-01 04:52:16,2022-03-01,04:52:16
12904,759,1998941040364.6785,2022-03-01 05:02:23,2022-03-01,05:02:23
12903,759,1994096954438.8567,2022-03-01 05:22:30,2022-03-01,05:22:30
12903,759,1993135638135.098,2022-03-01 05:32:34,2022-03-01,05:32:34
12903,759,1992093732631.8315,2022-03-01 05:42:39,2022-03-01,05:42:39
12904,759,1989943210617.6016,2022-03-01 06:02:43,2022-03-01,06:02:43
12905,759,1985610046445.099,2022-03-01 06:12:45,2022-03-01,06:12:45
12907,759,1986504598070.0803,2022-03-01 06:22:50,2022-03-01,06:22:50
12909,759,1990069112464.2063,2022-03-01 06:32:52,2022-03-01,06:32:52
12911,759,1994077471115.0007,2022-03-01 06:52:57,2022-03-01,06:52:57
12914,759,1999118119729.5496,2022-03-01 07:03:00,2022-03-01,07:03:00
12916,759,2001689621490.5613,2022-03-01 07:13:05,2022-03-01,07:13:05
12917,759,2001301137839.644,2022-03-01 07:33:12,2022-03-01,07:33:12
12917,759,2001682696564.7864,2022-03-01 07:43:15,2022-03-01,07:43:15
12917,759,1999177773621.927,2022-03-01 07:53:18,2022-03-01,07:53:18
12917,761,2003221646346.9487,2022-03-01 08:13:26,2022-03-01,08:13:26
12917,761,2004940386217.9587,2022-03-01 08:23:29,2022-03-01,08:23:29
12917,761,2003198024945.2407,2022-03-01 08:33:31,2022-03-01,08:33:31
12917,761,2006157932081.166,2022-03-01 08:43:34,2022-03-01,08:43:34
12906,761,2004528369098.837,2022-03-01 09:03:39,2022-03-01,09:03:39
12906,761,2000015048091.5144,2022-03-01 09:13:41,2022-03-01,09:13:41
12906,761,2000783861657.2224,2022-03-01 09:23:43,2022-03-01,09:23:43
12906,761,1990391315800.9883,2022-03-01 09:43:48,2022-03-01,09:43:48
12906,761,1993328534867.8865,2022-03-01 09:53:51,2022-03-01,09:53:51
12906,761,1991283679943.5027,2022-03-01 10:03:53,2022-03-01,10:03:53
12906,761,1982776919071.268,2022-03-01 10:13:56,2022-03-01,10:13:56
12906,761,1984234734492.7952,2022-03-01 10:34:05,2022-03-01,10:34:05
12906,761,1989916600839.3977,2022-03-01 10:44:09,2022-03-01,10:44:09
12907,761,2002490637096.5312,2022-03-01 11:14:16,2022-03-01,11:14:16
12907,761,2023490844299.6245,2022-03-01 12:24:37,2022-03-01,12:24:37
12907,761,2029889867297.546,2022-03-01 12:34:39,2022-03-01,12:34:39
12908,761,2022231672944.542,2022-03-01 12:44:42,2022-03-01,12:44:42
12910,761,2035458214501.5945,2022-03-01 13:04:47,2022-03-01,13:04:47
12910,761,2038185282463.1824,2022-03-01 13:14:50,2022-03-01,13:14:50
12910,761,2038359049415.8457,2022-03-01 13:24:53,2022-03-01,13:24:53
12910,761,2039331709470.9167,2022-03-01 13:44:58,2022-03-01,13:44:58
12910,761,2045755162598.3064,2022-03-01 13:55:02,2022-03-01,13:55:02
12910,761,2049366770588.444,2022-03-01 14:05:08,2022-03-01,14:05:08
12910,761,2052068371936.424,2022-03-01 14:15:10,2022-03-01,14:15:10
12910,761,2038058724366.2288,2022-03-01 14:35:18,2022-03-01,14:35:18
12910,761,2037263410955.18,2022-03-01 14:45:21,2022-03-01,14:45:21
12910,761,2019664689463.294,2022-03-01 14:55:24,2022-03-01,14:55:24
12910,761,2012015916131.489,2022-03-01 15:15:30,2022-03-01,15:15:30
12910,761,2024371209023.8047,2022-03-01 15:25:32,2022-03-01,15:25:32
12910,761,2019801820826.0784,2022-03-01 15:35:36,2022-03-01,15:35:36
12910,761,2004092023103.505,2022-03-01 15:55:41,2022-03-01,15:55:41
12910,761,2008470182868.6128,2022-03-01 16:05:44,2022-03-01,16:05:44
12910,761,2007528885288.491,2022-03-01 16:15:46,2022-03-01,16:15:46
12910,761,2020510524285.2324,2022-03-01 16:25:48,2022-03-01,16:25:48
12910,761,1999843233312.369,2022-03-01 16:45:54,2022-03-01,16:45:54
12910,761,1995476970949.312,2022-03-01 16:55:58,2022-03-01,16:55:58
12910,761,1995552142655.2563,2022-03-01 17:06:03,2022-03-01,17:06:03
12910,761,2003003850513.552,2022-03-01 17:26:17,2022-03-01,17:26:17
12910,761,1998316228618.27,2022-03-01 17:36:18,2022-03-01,17:36:18
12910,761,2001114493053.6804,2022-03-01 17:46:22,2022-03-01,17:46:22
12910,761,2012685383762.366,2022-03-01 17:56:24,2022-03-01,17:56:24
12910,761,2002908713392.9192,2022-03-01 18:16:29,2022-03-01,18:16:29
12910,761,2003534260866.6567,2022-03-01 18:26:31,2022-03-01,18:26:31
12910,761,2005461987476.515,2022-03-01 18:36:33,2022-03-01,18:36:33
12910,761,2014814699451.1985,2022-03-01 18:56:41,2022-03-01,18:56:41
12910,761,2014911642388.6765,2022-03-01 19:06:43,2022-03-01,19:06:43
12910,761,2012670645657.1223,2022-03-01 19:16:45,2022-03-01,19:16:45
12910,761,2017959515965.921,2022-03-01 19:36:50,2022-03-01,19:36:50
12910,761,2017611627264.2825,2022-03-01 19:46:52,2022-03-01,19:46:52
12910,761,2013136090536.6887,2022-03-01 19:56:54,2022-03-01,19:56:54
12910,761,2015698588809.8533,2022-03-01 20:06:57,2022-03-01,20:06:57
12910,761,2016240627502.524,2022-03-01 20:27:04,2022-03-01,20:27:04
12910,761,2018767191494.7373,2022-03-01 20:37:06,2022-03-01,20:37:06
12910,761,2019132121997.3308,2022-03-01 20:47:08,2022-03-01,20:47:08
12910,761,2026401771065.974,2022-03-01 21:07:14,2022-03-01,21:07:14
12910,761,2018211553257.4272,2022-03-01 21:17:16,2022-03-01,21:17:16
12910,761,2018799962333.023,2022-03-01 21:27:19,2022-03-01,21:27:19
12910,761,2015524688597.95,2022-03-01 21:37:21,2022-03-01,21:37:21
12910,761,2008860350360.049,2022-03-01 21:57:25,2022-03-01,21:57:25
12910,761,2012220240125.144,2022-03-01 22:07:28,2022-03-01,22:07:28
12910,761,2013102147639.5205,2022-03-01 22:17:30,2022-03-01,22:17:30
12910,761,2017325033759.44,2022-03-01 22:37:38,2022-03-01,22:37:38
12910,761,2025350008431.6,2022-03-01 22:47:40,2022-03-01,22:47:40
12910,761,2024271486320.7576,2022-03-01 22:57:44,2022-03-01,22:57:44
12910,761,2023269907603.6155,2022-03-01 23:17:52,2022-03-01,23:17:52
12910,761,2022564653119.8635,2022-03-01 23:27:55,2022-03-01,23:27:55
12910,761,2023678585942.1453,2022-03-01 23:38:00,2022-03-01,23:38:00
12910,761,2028341867067.912,2022-03-01 23:48:03,2022-03-01,23:48:03
12910,761,2033488819367.6184,2022-03-02 00:08:11,2022-03-02,00:08:11
12910,761,2034799805099.305,2022-03-02 00:18:14,2022-03-02,00:18:14
12910,761,2031813384199.7349,2022-03-02 00:28:17,2022-03-02,00:28:17
12910,761,2013301436205.215,2022-03-02 00:48:22,2022-03-02,00:48:22
12910,761,2015956724069.7964,2022-03-02 00:58:25,2022-03-02,00:58:25
12910,761,2023905974438.328,2022-03-02 01:08:28,2022-03-02,01:08:28
12910,761,2023376025968.465,2022-03-02 01:18:31,2022-03-02,01:18:31
12910,761,2009243532071.08,2022-03-02 01:38:37,2022-03-02,01:38:37
12910,761,2009242711497.5684,2022-03-02 01:48:40,2022-03-02,01:48:40
12910,762,2011417612182.752,2022-03-02 01:58:42,2022-03-02,01:58:42
12912,762,2014153450506.2004,2022-03-02 02:18:46,2022-03-02,02:18:46
12912,762,2013056543626.848,2022-03-02 02:28:48,2022-03-02,02:28:48
12912,762,2016662322363.6304,2022-03-02 02:38:50,2022-03-02,02:38:50
12912,762,2017806254091.1267,2022-03-02 02:58:55,2022-03-02,02:58:55
12912,762,2021893323156.7185,2022-03-02 03:08:58,2022-03-02,03:08:58
12912,762,2024108713785.1184,2022-03-02 03:19:02,2022-03-02,03:19:02
12912,762,2021154860117.03,2022-03-02 03:29:05,2022-03-02,03:29:05
12913,762,2034917609604.0808,2022-03-02 03:49:12,2022-03-02,03:49:12
12913,762,2037464961472.4104,2022-03-02 03:59:14,2022-03-02,03:59:14
12913,762,2041188364846.664,2022-03-02 04:09:16,2022-03-02,04:09:16
12914,762,2048961216355.97,2022-03-02 04:29:23,2022-03-02,04:29:23
12914,762,2046763889490.287,2022-03-02 04:39:25,2022-03-02,04:39:25
12914,762,2043049261947.7144,2022-03-02 04:49:27,2022-03-02,04:49:27
12915,762,2034262358893.759,2022-03-02 05:09:32,2022-03-02,05:09:32
12915,762,2035352584900.8923,2022-03-02 05:19:35,2022-03-02,05:19:35
